codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0060,0064,0181,0185,0186,0188,0501,0505,0542,0543
23,Capital,001,0001 ,0001,335,1,5,1,18,16,4,6,1,28,20,9,147
23,Capital,001,0001 ,0002,334,3,4,0,29,5,0,6,0,32,11,7,152
23,Capital,001,0001 ,0003,334,2,2,0,34,13,2,11,1,27,10,3,154
23,Capital,001,0001 ,0004,333,2,2,1,43,5,2,7,2,33,10,4,140
23,Capital,001,0001 ,0005,334,0,2,1,29,10,3,9,2,25,17,5,144
23,Capital,001,0001 ,0006,334,2,3,1,21,11,2,6,0,17,13,8,162
23,Capital,001,0001 ,0007,335,2,1,0,13,9,2,11,0,27,9,5,175
23,Capital,001,0001 ,0008,334,2,11,0,27,5,1,4,2,31,22,12,135
23,Capital,001,0001 ,0009,334,3,2,1,40,11,2,5,2,26,18,7,125
23,Capital,001,0001 ,0010,334,4,1,2,15,8,1,7,3,31,11,8,150
23,Capital,001,0001 ,0011,333,1,3,4,16,10,2,9,0,36,17,6,129
23,Capital,001,0001 ,0012,334,3,4,0,17,7,1,11,1,29,10,5,158
23,Capital,001,0001 ,0013,335,2,4,0,20,12,0,10,0,34,16,7,145
23,Capital,001,0001 ,0014,333,5,2,1,35,10,1,12,2,26,14,8,127
23,Capital,001,0001 ,0015,334,2,3,0,33,14,0,8,0,33,13,5,139
23,Capital,001,0001 ,0016,334,3,3,2,16,7,4,10,7,26,12,11,142
23,Capital,001,0001 ,0017,334,1,2,0,19,12,0,10,0,25,8,9,150
23,Capital,001,0001 ,0018,334,2,2,0,24,8,2,9,0,29,21,8,138
23,Capital,001,0001 ,0019,333,1,1,0,19,12,2,9,0,32,21,4,140
23,Capital,001,0001A,0020,347,0,1,1,23,17,3,6,2,53,20,9,147
23,Capital,001,0001A,0021,350,0,2,1,16,15,2,11,2,24,20,9,152
23,Capital,001,0001A,0022,350,2,2,1,23,16,3,12,5,36,16,8,133
23,Capital,001,0001A,0023,350,3,4,2,39,15,1,4,1,48,12,6,129
23,Capital,001,0001A,0024,351,4,2,1,23,15,0,6,3,33,19,7,161
23,Capital,001,0001A,0025,350,3,2,1,24,14,4,11,1,25,13,9,153
23,Capital,001,0001A,0026,349,1,3,4,29,18,1,7,2,46,14,8,129
23,Capital,001,0001A,0027,349,247,3,0,24,13,2,7,3,40,18,9,124
23,Capital,001,0001A,0028,349,0,0,0,29,10,2,6,0,31,10,8,152
23,Capital,001,0001A,0029,349,0,1,2,23,12,3,4,1,38,21,11,157
23,Capital,001,0001A,0030,348,2,0,4,26,21,2,5,0,29,16,9,142
23,Capital,001,0001A,0031,349,1,4,1,33,11,3,6,1,28,5,8,155
23,Capital,001,0001A,0032,349,1,4,1,25,9,3,4,2,37,11,10,138
23,Capital,001,0001A,0033,350,1,6,2,22,10,3,6,2,44,14,10,143
23,Capital,001,0001A,0034,348,4,7,0,28,16,3,3,3,28,10,13,156
23,Capital,001,0002 ,0035,341,5,2,1,24,23,3,5,2,30,4,5,152
23,Capital,001,0002 ,0036,340,0,2,0,25,14,1,4,0,40,11,0,141
23,Capital,001,0002 ,0037,339,3,5,5,19,10,4,5,1,33,15,6,150
23,Capital,001,0002 ,0038,343,6,3,0,20,19,2,8,0,23,9,7,150
23,Capital,001,0002 ,0039,341,0,3,0,19,15,1,13,0,40,14,10,127
23,Capital,001,0002 ,0040,341,2,7,1,19,15,1,3,0,33,16,8,155
23,Capital,001,0002 ,0041,338,2,4,1,30,16,3,8,2,32,15,5,132
23,Capital,001,0002 ,0042,340,0,2,2,29,10,1,7,2,27,13,2,152
23,Capital,001,0002 ,0043,340,2,7,1,24,21,1,9,3,28,16,9,140
23,Capital,001,0002 ,0044,339,1,3,0,30,14,1,9,1,32,20,4,139
23,Capital,001,0002 ,0045,341,2,7,1,25,15,4,7,0,20,26,8,120
23,Capital,001,0002 ,0046,340,1,1,2,15,5,6,7,1,29,15,8,139
23,Capital,001,0002A,0047,337,5,4,0,23,10,2,9,3,37,22,6,124
23,Capital,001,0002A,0048,337,5,3,0,25,16,2,5,0,32,21,12,126
23,Capital,001,0002A,0049,337,1,3,0,29,21,1,11,3,16,29,8,133
23,Capital,001,0002A,0050,334,0,2,2,24,20,0,1,3,43,17,4,142
23,Capital,001,0002A,0051,335,4,3,1,22,8,3,9,2,44,18,13,127
23,Capital,001,0002A,0052,335,6,2,2,14,7,1,5,3,37,20,10,140
23,Capital,001,0002A,0053,337,1,2,2,28,15,1,8,2,31,13,6,149
23,Capital,001,0002A,0054,336,3,1,1,16,15,6,8,1,29,27,4,141
23,Capital,001,0002A,0055,338,0,3,1,22,17,2,6,2,22,27,7,144
23,Capital,001,0002A,0056,336,5,0,0,30,15,3,9,1,26,14,4,138
