codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0002,0101,0126,0135,0507,0521,0538
11,Atreuco,001,0001 ,0001,343,10,0,72,1,3,41,21,1,152
11,Atreuco,001,0001 ,0002,342,0,0,87,3,0,34,10,2,134
11,Atreuco,001,0001 ,0398,249,0,7,44,4,1,19,5,0,123
11,Atreuco,001,0001 ,0399,248,3,1,58,4,2,21,13,6,97
11,Atreuco,001,0001 ,0400,248,11,0,69,1,1,34,5,3,88
11,Atreuco,001,0002 ,0003,335,7,1,110,1,1,23,0,2,135
11,Atreuco,001,0002 ,0004,335,0,0,138,5,1,14,2,1,110
11,Atreuco,001,0002 ,0005,335,5,0,118,0,0,23,6,0,143
11,Atreuco,001,0002 ,0006,335,2,6,117,1,1,29,1,0,125
11,Atreuco,001,0002 ,0007,335,5,2,115,1,2,23,4,1,114
11,Atreuco,001,0002 ,0008,334,3,3,90,0,1,25,3,0,142
11,Atreuco,001,0002 ,0401,340,7,0,105,1,2,34,5,1,117
11,Atreuco,001,0002 ,0402,339,12,0,140,5,0,25,3,5,100
11,Atreuco,001,0002 ,0403,339,6,2,114,2,2,24,7,0,138
11,Atreuco,001,0002 ,0404,339,15,0,123,2,1,34,5,3,113
11,Atreuco,001,0002 ,0405,339,7,0,109,2,0,22,1,3,132
11,Atreuco,001,0002 ,0406,339,9,0,107,4,2,42,3,1,117
11,Atreuco,001,0003 ,0009,323,2,0,96,0,1,18,4,1,157
11,Atreuco,001,0003 ,0010,323,5,1,87,0,0,10,7,2,159
11,Atreuco,001,0003 ,0011,322,7,0,105,0,2,11,1,0,156
11,Atreuco,001,0003 ,0407,329,6,2,79,0,1,11,7,1,181
11,Atreuco,001,0003 ,0408,329,9,0,95,2,0,12,2,3,151
11,Atreuco,001,0003 ,0409,329,3,5,99,1,2,11,5,1,152
11,Atreuco,001,0004 ,0012,293,3,0,97,2,4,25,13,1,91
11,Atreuco,001,0004 ,0410,293,4,2,122,0,1,25,9,0,89
11,Atreuco,001,0005 ,0013,171,3,3,35,2,0,5,6,1,88
11,Atreuco,001,0005 ,0411,211,2,2,32,2,0,8,2,1,124
11,Capital,002,0006 ,0014,244,6,7,64,3,3,16,12,2,75
11,Capital,002,0006 ,0015,243,4,5,56,7,1,16,12,4,89
11,Capital,002,0006 ,0016,243,7,4,54,3,2,20,10,1,89
11,Capital,002,0006 ,0412,267,8,2,73,7,1,21,12,5,88
11,Capital,002,0006 ,0413,267,6,1,65,6,4,11,9,6,104
11,Capital,002,0006 ,0414,267,8,1,60,4,1,15,8,4,97
11,Capital,002,0009 ,0017,344,6,5,64,10,7,51,8,12,72
11,Capital,002,0009 ,0018,344,5,4,59,5,5,56,11,11,93
11,Capital,002,0009 ,0019,344,9,1,52,5,7,58,7,19,73
11,Capital,002,0009 ,0020,344,10,11,55,4,11,59,5,22,84
11,Capital,002,0009 ,0021,344,4,5,76,6,8,44,10,16,77
11,Capital,002,0009 ,0022,344,12,2,58,6,6,59,10,10,98
11,Capital,002,0009 ,0023,344,7,2,45,2,10,53,11,14,88
11,Capital,002,0009 ,0024,344,8,10,69,8,7,38,12,10,84
11,Capital,002,0009 ,0025,344,2,7,76,4,7,53,10,8,87
11,Capital,002,0009 ,0026,344,2,8,52,5,3,46,9,18,83
11,Capital,002,0009 ,0027,344,14,6,63,12,3,50,7,15,86
11,Capital,002,0009 ,0028,344,12,5,53,0,5,57,10,13,99
11,Capital,002,0009 ,0029,344,17,7,71,4,8,43,8,18,82
11,Capital,002,0009 ,0030,344,2,5,43,6,9,51,10,16,108
11,Capital,002,0009 ,0031,344,11,8,62,6,4,51,10,11,88
11,Capital,002,0009 ,0032,344,10,2,74,4,6,43,16,15,78
11,Capital,002,0009 ,0033,344,1,9,51,5,6,43,12,16,98
11,Capital,002,0009 ,0034,344,6,5,61,5,8,52,8,19,93
11,Capital,002,0009 ,0035,344,6,2,63,7,9,46,20,22,82
11,Capital,002,0009 ,0036,344,10,5,59,5,12,58,12,15,85
11,Capital,002,0009 ,0037,344,4,5,71,6,8,50,7,17,93
11,Capital,002,0009 ,0038,344,9,7,72,2,5,50,17,15,62
11,Capital,002,0009 ,0039,344,16,7,80,5,6,53,14,10,65
11,Capital,002,0009 ,0040,344,6,6,55,5,7,58,11,11,90
11,Capital,002,0009 ,0041,344,3,3,74,3,7,62,8,14,83
11,Capital,002,0009 ,0042,344,5,2,49,5,9,46,11,8,108
11,Capital,002,0009 ,0043,344,5,3,70,8,7,56,9,16,83
11,Capital,002,0009 ,0044,344,3,13,69,4,9,59,6,17,82
11,Capital,002,0009 ,0045,344,9,13,69,11,9,57,18,12,69
11,Capital,002,0009 ,0046,344,7,11,69,7,7,46,12,10,75
11,Capital,002,0009 ,0047,344,6,4,57,2,10,62,16,13,89
11,Capital,002,0009 ,0048,344,2,11,55,8,12,46,12,17,98
11,Capital,002,0009 ,0049,344,10,4,62,3,12,64,12,14,75
11,Capital,002,0009 ,0050,344,2,7,68,11,4,45,10,10,94
11,Capital,002,0009 ,0051,344,7,5,86,3,8,47,11,19,74
11,Capital,002,0009 ,0052,344,9,5,65,8,10,44,16,15,94
11,Capital,002,0009 ,0053,344,4,7,76,4,4,50,12,8,77
11,Capital,002,0009 ,0054,344,7,8,75,3,9,58,5,11,72
11,Capital,002,0009 ,0055,344,3,4,53,6,10,44,9,18,102
11,Capital,002,0009 ,0056,344,9,1,71,6,7,52,15,12,56
11,Capital,002,0009 ,0057,344,11,8,62,5,8,36,11,14,87
11,Capital,002,0009 ,0058,344,8,2,77,1,17,48,7,12,70
11,Capital,002,0009 ,0059,344,2,4,54,5,12,49,15,12,112
11,Capital,002,0009 ,0060,344,0,0,88,3,8,38,11,8,83
11,Capital,002,0009 ,0061,344,8,2,74,4,4,66,9,12,80
11,Capital,002,0009 ,0062,344,7,6,71,4,9,50,13,19,97
11,Capital,002,0009 ,0063,344,7,10,63,5,6,47,13,15,79
11,Capital,002,0009 ,0064,344,1,8,62,7,8,50,14,10,99
11,Capital,002,0009 ,0065,344,5,3,65,8,7,40,14,14,92
11,Capital,002,0009 ,0066,344,8,3,80,4,8,47,15,13,79
11,Capital,002,0009 ,0067,344,10,4,71,3,4,50,8,12,71
11,Capital,002,0009 ,0068,344,2,3,64,7,6,65,12,9,93
11,Capital,002,0009 ,0069,343,14,8,54,3,6,60,10,12,77
11,Capital,002,0009 ,0070,343,5,6,61,4,5,50,11,21,80
11,Capital,002,0009 ,0071,343,9,5,71,11,10,40,9,14,86
