codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0014,0038,0050,0056,0120,0517,0533,0562,0568
22,Capital,001,0001 ,0001,780,9,8,4,16,20,46,10,4,46,40,98,176
22,Capital,001,0001 ,0002,780,12,15,8,12,10,40,8,6,42,36,68,216
22,Capital,001,0001 ,0003,780,12,13,12,18,12,46,8,4,36,38,92,198
22,Capital,001,0001 ,0004,780,20,15,14,6,12,30,4,8,44,38,96,240
22,Capital,001,0001 ,0005,502,4,14,4,10,4,40,8,0,54,20,116,194
22,Capital,001,0001 ,0006,151,2,2,1,3,1,5,1,1,8,10,19,38
22,Capital,001,0002 ,0006,390,6,9,4,3,7,21,3,2,13,24,52,87
22,Capital,001,0002 ,0007,780,4,20,4,10,16,34,4,2,34,32,96,228
22,Capital,001,0002 ,0008,780,9,9,2,12,14,40,4,6,36,46,90,228
22,Capital,001,0002 ,0009,780,7,10,4,18,14,32,14,8,16,48,94,216
22,Capital,001,0002 ,0010,780,3,5,6,2,14,34,4,4,42,42,88,238
22,Capital,001,0002 ,0011,643,4,4,4,12,22,28,4,2,28,44,76,236
22,Capital,001,0002 ,0012,390,5,6,1,3,2,12,1,0,14,24,54,108
22,Capital,001,0002 ,0013,209,1,1,0,3,0,12,2,0,9,11,33,44
22,Capital,001,0002A,0012,390,10,4,0,10,5,8,0,1,6,31,37,106
22,Capital,001,0002A,0013,390,5,5,2,4,2,8,4,4,6,13,33,132
22,Capital,001,0002A,0014,780,12,5,0,6,20,22,8,8,10,56,86,286
22,Capital,001,0002A,0015,780,10,4,2,8,12,22,6,2,16,60,96,270
22,Capital,001,0002A,0016,780,4,10,10,22,20,28,12,4,24,42,92,258
22,Capital,001,0002A,0017,780,2,4,6,14,8,20,0,2,12,28,72,238
22,Capital,001,0002A,0018,780,4,5,4,4,12,32,8,4,20,50,68,276
22,Capital,001,0002A,0019,780,8,6,6,8,14,18,4,0,26,62,72,280
22,Capital,001,0002A,0020,780,8,5,4,6,16,16,2,8,14,48,80,260
22,Capital,001,0002A,0021,780,5,7,12,14,14,18,8,10,24,46,102,246
22,Capital,001,0002A,0022,780,13,4,2,20,14,18,8,4,16,60,72,290
22,Capital,001,0002A,0023,780,14,3,4,8,16,18,6,0,14,40,76,346
22,Capital,001,0002A,0024,780,7,9,6,12,16,16,10,8,28,40,78,208
22,Capital,001,0002A,0025,780,13,7,4,12,14,16,4,6,28,64,86,244
22,Capital,001,0002A,0026,619,9,3,4,8,20,32,4,4,20,42,86,266
22,Capital,001,0002A,0027,390,2,0,3,7,5,9,3,2,3,22,36,124
22,Capital,001,0002A,0028,390,3,4,3,1,8,7,1,2,6,19,37,140
22,Capital,001,0002A,0029,390,2,6,2,13,13,15,2,0,7,21,37,124
22,Capital,001,0002A,0030,361,4,3,3,6,8,11,3,0,3,30,34,120
22,Capital,001,0003 ,0027,390,4,3,3,1,5,14,1,1,15,22,36,82
22,Capital,001,0003 ,0028,390,4,6,7,4,10,15,3,1,12,23,24,98
22,Capital,001,0003 ,0029,390,5,7,9,5,5,9,6,0,10,11,36,96
22,Capital,001,0003 ,0030,390,3,3,5,5,6,13,7,2,11,14,35,100
22,Capital,001,0003 ,0031,780,5,7,10,16,14,24,6,2,32,38,64,254
22,Capital,001,0003 ,0032,780,7,8,6,16,12,28,4,2,36,56,86,200
22,Capital,001,0003 ,0033,780,5,5,12,10,16,26,6,2,34,30,92,216
22,Capital,001,0003 ,0034,780,12,11,8,16,20,40,6,2,28,44,102,204
22,Capital,001,0003 ,0035,780,5,4,10,16,8,30,4,8,34,38,60,250
22,Capital,001,0003 ,0036,780,9,13,12,6,8,16,4,4,30,40,102,220
22,Capital,001,0003 ,0037,595,11,4,6,6,6,18,4,4,10,56,86,242
22,Capital,001,0003 ,0038,595,11,3,6,12,8,18,6,2,20,20,90,224
22,Capital,001,0003 ,0039,390,6,6,3,1,9,6,4,1,8,23,50,96
22,Capital,001,0003 ,0040,390,2,6,2,6,3,13,7,2,9,15,43,122
22,Capital,001,0003 ,0041,390,5,5,1,7,8,14,2,2,9,18,55,108
22,Capital,001,0003 ,0042,390,2,6,1,5,6,5,1,0,8,22,40,128
22,Capital,001,0003 ,0043,129,1,1,0,0,2,4,0,2,1,9,21,42
22,Capital,001,0003A,0039,390,2,1,1,9,6,13,2,0,15,24,51,87
22,Capital,001,0003A,0040,390,5,6,3,5,6,12,1,0,10,16,42,101
22,Capital,001,0003A,0041,390,10,3,1,4,5,15,2,1,16,15,60,103
22,Capital,001,0003A,0042,390,5,5,2,7,6,12,2,1,9,9,53,102
22,Capital,001,0003A,0043,390,6,5,3,4,12,15,0,1,12,16,42,90
22,Capital,001,0003A,0044,780,6,9,6,8,12,32,8,6,18,44,100,234
22,Capital,001,0003A,0045,780,10,9,10,12,14,16,10,6,24,56,108,244
22,Capital,001,0003A,0046,780,8,7,6,10,18,28,10,4,20,44,98,228
22,Capital,001,0003A,0047,520,3,2,6,10,16,22,16,2,28,52,92,216
22,Capital,001,0003A,0048,390,3,3,3,3,12,9,4,2,12,18,42,107
22,Capital,001,0003A,0049,390,2,4,5,2,4,14,5,0,13,27,46,103
22,Capital,001,0003A,0050,390,0,2,1,8,8,14,5,5,9,20,45,119
22,Capital,001,0003A,0051,390,7,6,2,6,10,4,5,1,13,16,45,120
22,Capital,001,0003A,0052,390,3,2,1,2,12,11,2,2,9,21,48,113
22,Capital,001,0003A,0053,390,7,2,3,4,9,10,4,1,12,20,43,102
22,Capital,001,0003A,0054,135,1,4,0,3,4,3,0,0,4,7,19,36
22,Capital,001,0004 ,0048,390,4,5,1,2,6,5,1,2,3,36,43,130
22,Capital,001,0004 ,0049,390,0,4,4,4,10,4,3,2,2,16,34,124
22,Capital,001,0004 ,0050,390,15,0,4,1,16,4,2,0,5,20,46,118
22,Capital,001,0004 ,0051,390,9,1,2,6,11,4,1,1,10,15,34,113
22,Capital,001,0004 ,0052,390,6,4,2,8,3,5,3,0,4,18,20,136
22,Capital,001,0004 ,0053,390,2,4,2,8,11,7,1,2,2,25,38,95
22,Capital,001,0004 ,0054,390,5,4,1,4,8,4,2,2,7,16,23,138
22,Capital,001,0004 ,0055,780,10,7,4,8,18,16,6,8,8,50,78,306
22,Capital,001,0004 ,0056,780,9,5,2,8,28,14,8,2,14,58,56,296
22,Capital,001,0004 ,0057,780,9,5,2,10,24,16,10,4,16,66,70,308
22,Capital,001,0004 ,0058,780,5,10,2,18,20,20,10,2,16,56,84,318
22,Capital,001,0004 ,0059,780,6,4,2,10,18,20,8,4,10,60,74,308
22,Capital,001,0004 ,0060,780,11,7,6,16,16,10,8,4,12,50,60,300
22,Capital,001,0004 ,0061,780,8,8,12,8,20,16,2,2,26,72,70,274
22,Capital,001,0004 ,0062,780,13,0,4,8,28,16,12,4,14,38,58,272
22,Capital,001,0004 ,0063,780,15,1,4,12,16,14,4,4,18,60,66,252
22,Capital,001,0004 ,0064,780,11,6,10,8,14,6,14,6,14,52,74,296
22,Capital,001,0004 ,0065,780,8,8,4,6,22,10,0,4,8,48,66,262
22,Capital,001,0004 ,0066,780,7,12,8,8,18,12,4,2,20,44,78,278
22,Capital,001,0004 ,0067,780,1,4,4,14,22,14,6,0,14,56,74,282
22,Capital,001,0004 ,0068,780,6,10,8,10,20,24,8,4,8,40,64,310
22,Capital,001,0004 ,0069,780,10,9,4,6,24,10,14,4,10,44,70,292
22,Capital,001,0004 ,0070,780,3,11,8,14,22,12,10,6,18,42,64,272
22,Capital,001,0004 ,0071,780,14,7,6,14,12,12,6,0,18,64,70,260
22,Capital,001,0004 ,0072,780,5,3,10,14,22,22,8,4,8,44,70,304
22,Capital,001,0004 ,0073,780,2,10,4,16,30,10,8,4,12,50,50,286
22,Capital,001,0004 ,0074,780,6,7,6,10,26,10,6,2,10,58,72,278
22,Capital,001,0004 ,0075,780,8,2,2,12,18,8,6,8,16,62,84,280
22,Capital,001,0004 ,0076,780,9,11,6,14,24,10,10,2,18,52,62,316
22,Capital,001,0004 ,0077,780,5,6,4,12,20,18,4,4,8,50,88,264
22,Capital,001,0004 ,0078,780,10,2,6,10,22,16,8,4,22,52,70,266
22,Capital,001,0004 ,0079,780,5,4,2,8,26,16,4,2,8,42,86,386
22,Capital,001,0004 ,0080,780,7,8,10,6,22,8,6,4,16,42,60,262
22,Capital,001,0004 ,0081,780,7,8,4,8,28,14,8,6,8,52,70,306
22,Capital,001,0004 ,0082,780,7,3,2,6,30,12,8,8,12,48,70,294
22,Capital,001,0004 ,0083,732,9,8,10,14,10,18,6,6,10,30,68,306
22,Capital,001,0004 ,0084,390,5,4,0,3,8,8,6,0,1,15,29,161
22,Capital,001,0004 ,0085,390,2,6,2,1,4,6,6,2,6,26,38,125
22,Capital,001,0004 ,0086,390,3,3,1,6,9,6,1,3,3,29,28,127
22,Capital,001,0004 ,0087,390,3,1,1,2,7,1,4,2,1,23,24,134
22,Capital,001,0004 ,0088,390,2,1,4,4,9,11,2,0,3,22,36,137
22,Capital,001,0004 ,0089,390,6,2,2,1,19,13,4,1,2,17,33,128
22,Capital,001,0004 ,0090,390,3,2,1,3,12,4,2,1,4,20,26,154
22,Capital,001,0004 ,0091,390,7,2,2,3,12,3,2,0,5,25,30,147
22,Capital,001,0004 ,0092,390,6,5,3,1,20,6,0,0,10,24,27,145
22,Capital,001,0004 ,0093,390,2,2,0,2,13,1,2,2,4,28,22,147
22,Capital,001,0004 ,0094,176,1,3,0,4,8,1,1,1,1,10,7,59
22,Capital,001,0005 ,0084,390,8,8,4,4,4,17,8,0,34,23,40,76
22,Capital,001,0005 ,0085,390,8,5,3,4,4,20,7,3,24,16,39,76
22,Capital,001,0005 ,0086,390,3,3,3,8,4,27,4,3,35,13,46,72
22,Capital,001,0005 ,0087,390,4,8,6,5,0,25,6,3,27,9,43,61
22,Capital,001,0005 ,0088,390,7,1,5,8,3,33,3,3,44,5,37,66
22,Capital,001,0005 ,0089,153,1,4,1,1,4,6,1,2,9,4,26,28
22,Capital,001,0005 ,0095,390,7,7,4,1,8,23,0,2,23,7,46,85
22,Capital,001,0005 ,0096,390,2,9,0,5,3,26,5,2,28,11,55,72
22,Capital,001,0005 ,0097,390,4,10,2,1,2,24,16,4,24,11,49,76
22,Capital,001,0005 ,0098,390,3,4,4,5,3,22,4,0,27,16,38,76
22,Capital,001,0005 ,0099,390,7,4,3,4,3,28,5,3,20,10,41,78
22,Capital,001,0005 ,0100,390,2,4,5,1,5,25,4,3,24,11,48,77
22,Capital,001,0005 ,0101,271,3,1,3,4,2,26,6,1,18,8,43,65
22,Capital,001,0006 ,0090,390,7,4,4,5,4,16,1,1,13,20,31,98
22,Capital,001,0006 ,0091,390,2,3,2,11,6,9,2,4,13,9,40,103
22,Capital,001,0006 ,0092,390,4,4,3,4,5,9,2,2,15,24,30,100
22,Capital,001,0006 ,0093,390,5,6,2,6,4,24,2,1,8,20,36,102
22,Capital,001,0006 ,0094,390,6,3,5,7,8,14,0,0,12,17,43,90
22,Capital,001,0006 ,0095,390,4,4,1,4,1,12,3,0,10,19,36,96
22,Capital,001,0006 ,0096,390,2,3,2,3,0,16,4,7,8,17,39,109
22,Capital,001,0006 ,0097,390,8,9,2,1,2,17,1,0,20,19,35,93
22,Capital,001,0006 ,0098,390,5,3,2,3,4,17,5,4,20,17,37,85
22,Capital,001,0006 ,0099,390,8,5,3,7,2,14,1,2,7,6,40,101
22,Capital,001,0006 ,0100,390,4,8,3,2,5,14,4,3,11,17,40,108
22,Capital,001,0006 ,0101,390,0,2,1,4,3,23,2,0,16,29,48,100
22,Capital,001,0006 ,0102,758,10,12,8,8,16,38,10,6,32,34,84,192
22,Capital,001,0006 ,0103,390,7,2,4,7,5,11,5,1,17,21,45,103
22,Capital,001,0006 ,0104,390,4,3,1,7,5,10,2,1,20,20,48,106
22,Capital,001,0006 ,0105,390,4,3,0,6,7,14,0,3,13,17,39,107
22,Capital,001,0006 ,0106,390,3,2,4,9,3,16,1,1,12,11,36,116
22,Capital,001,0006 ,0107,390,4,5,2,7,6,23,5,1,16,13,36,97
22,Capital,001,0006 ,0108,390,3,0,1,3,7,10,3,2,13,17,36,112
22,Capital,001,0006 ,0109,390,0,4,3,3,6,12,3,1,9,15,46,115
22,Capital,001,0006 ,0110,390,0,7,1,2,3,17,2,2,10,12,36,113
22,Capital,001,0006 ,0111,390,0,5,3,10,6,9,1,2,15,21,39,105
22,Capital,001,0006 ,0112,390,4,1,2,7,2,9,5,0,17,13,43,129
22,Capital,001,0006 ,0113,390,7,5,3,5,4,13,3,0,11,11,42,96
22,Capital,001,0006 ,0114,390,0,0,0,0,0,0,0,0,0,0,0,0
22,Capital,001,0006 ,0115,390,1,3,4,5,7,17,3,0,12,9,49,96
22,Capital,001,0006 ,0116,390,5,5,1,9,5,11,2,3,15,16,42,104
22,Capital,001,0006 ,0117,63,1,1,1,0,0,3,0,0,3,0,7,18
22,Capital,001,0007 ,0103,390,5,4,1,12,8,5,1,0,9,10,27,136
22,Capital,001,0007 ,0104,390,3,1,2,5,4,6,1,8,13,12,34,125
22,Capital,001,0007 ,0105,390,3,1,0,4,10,10,2,1,4,22,28,117
22,Capital,001,0007 ,0106,390,7,8,1,5,4,9,2,5,14,17,37,126
22,Capital,001,0007 ,0107,390,2,3,4,8,8,5,0,1,4,14,28,157
22,Capital,001,0007 ,0108,390,1,4,2,4,11,9,2,2,7,16,39,109
22,Capital,001,0007 ,0109,390,5,5,1,5,4,6,3,1,5,24,38,122
22,Capital,001,0007 ,0110,390,7,3,4,3,3,5,1,0,3,19,32,136
22,Capital,001,0007 ,0111,390,4,8,0,3,8,4,3,1,7,12,34,144
22,Capital,001,0007 ,0112,390,3,5,1,6,7,5,3,2,4,12,0,121
22,Capital,001,0007 ,0113,390,5,4,1,4,6,9,2,1,11,8,51,94
22,Capital,001,0007 ,0114,390,4,3,3,7,7,6,2,2,10,27,37,104
22,Capital,001,0007 ,0115,390,4,3,0,2,8,2,0,3,4,23,39,123
22,Capital,001,0007 ,0116,390,1,4,4,2,10,6,7,2,10,16,48,113
22,Capital,001,0007 ,0117,390,9,8,0,6,9,5,3,1,5,20,36,117
22,Capital,001,0007 ,0118,780,8,6,6,22,12,14,4,4,18,46,84,284
22,Capital,001,0007 ,0119,780,5,9,8,14,18,16,6,2,18,46,74,260
22,Capital,001,0007 ,0120,780,6,7,6,22,18,20,6,4,18,62,76,258
22,Capital,001,0007 ,0121,780,14,9,12,10,22,12,2,8,12,50,66,258
22,Capital,001,0007 ,0122,780,7,5,6,10,16,16,10,6,10,38,76,260
22,Capital,001,0007 ,0123,780,7,8,10,14,14,22,14,4,8,40,68,280
22,Capital,001,0007 ,0124,780,6,17,2,18,12,16,10,2,16,40,88,276
22,Capital,001,0007 ,0125,780,9,6,2,8,20,16,4,6,14,44,88,272
22,Capital,001,0007 ,0126,780,3,5,2,14,12,14,10,6,18,50,58,304
22,Capital,001,0007 ,0127,780,7,7,2,20,10,14,4,2,16,44,80,268
22,Capital,001,0007 ,0128,780,5,2,10,18,16,16,8,6,14,44,60,322
22,Capital,001,0007 ,0129,780,7,8,4,20,26,20,2,2,8,50,84,254
22,Capital,001,0007 ,0130,780,4,12,4,6,12,16,4,2,18,58,74,274
22,Capital,001,0007 ,0131,780,10,10,4,18,10,14,6,8,14,50,94,278
22,Capital,001,0007 ,0132,780,4,5,6,12,12,16,4,4,18,50,68,308
22,Capital,001,0007 ,0133,729,6,5,4,6,16,14,6,6,18,36,72,284
22,Capital,001,0007 ,0134,390,3,6,0,6,8,11,0,0,6,21,32,132
22,Capital,001,0007 ,0135,390,7,4,3,4,5,5,3,0,7,15,51,131
22,Capital,001,0007 ,0136,390,6,2,2,9,1,5,3,1,8,26,31,127
22,Capital,001,0007 ,0137,390,6,2,2,7,10,8,1,3,3,18,39,130
22,Capital,001,0007 ,0138,390,1,6,0,5,9,5,0,0,5,16,36,146
22,Capital,001,0007 ,0139,390,3,10,2,3,7,8,6,2,10,29,33,123
22,Capital,001,0007 ,0140,390,4,2,2,10,8,8,4,0,9,25,28,129
22,Capital,001,0007 ,0141,390,8,9,1,6,4,4,1,0,3,23,41,137
22,Capital,001,0007 ,0142,390,2,3,0,3,2,4,1,0,7,22,38,152
22,Capital,001,0007 ,0143,390,2,0,2,7,4,8,2,1,7,20,42,128
22,Capital,001,0007 ,0144,390,7,4,1,8,5,11,3,1,6,15,39,138
22,Capital,001,0007 ,0145,390,2,1,1,7,8,4,0,0,14,23,48,124
22,Capital,001,0007 ,0146,390,3,4,2,9,3,15,3,3,6,15,29,141
22,Capital,001,0007 ,0147,390,4,2,2,5,6,7,6,1,13,14,37,138
22,Capital,001,0007 ,0148,390,5,2,3,3,4,6,3,1,6,31,47,129
22,Capital,001,0007 ,0149,390,10,1,0,4,0,7,0,0,4,28,38,149
22,Capital,001,0007 ,0150,390,5,4,1,7,8,6,4,1,4,26,37,137
22,Capital,001,0007 ,0151,390,1,1,1,6,11,8,3,0,3,27,37,133
22,Capital,001,0007 ,0152,390,3,6,1,5,8,12,2,0,10,21,37,141
22,Capital,001,0007 ,0153,354,2,2,2,5,3,9,3,1,6,33,36,120
22,Capital,001,0007A,0134,390,2,4,2,6,3,17,4,3,22,22,37,113
22,Capital,001,0007A,0135,390,7,2,4,2,3,19,5,1,14,14,47,104
22,Capital,001,0007A,0136,390,3,7,6,8,9,9,5,1,11,16,28,103
22,Capital,001,0007A,0137,390,4,1,2,2,6,8,2,1,8,22,26,106
22,Capital,001,0007A,0138,390,1,7,5,4,6,6,4,2,11,16,29,116
22,Capital,001,0007A,0139,390,4,2,1,5,0,16,2,5,10,11,28,132
22,Capital,001,0007A,0140,390,2,3,2,6,4,8,3,3,8,18,35,120
22,Capital,001,0007A,0141,390,4,7,1,3,3,10,3,0,15,20,43,104
22,Capital,001,0007A,0142,390,9,5,3,1,3,17,5,2,15,14,37,104
22,Capital,001,0007A,0143,390,4,3,2,3,7,6,3,1,15,13,41,112
22,Capital,001,0007A,0144,390,5,1,0,6,8,16,4,3,12,17,34,121
22,Capital,001,0007A,0145,390,5,4,2,4,8,9,3,3,11,16,40,108
22,Capital,001,0007A,0146,202,2,2,3,4,2,5,1,1,6,11,19,54
22,Capital,001,0007A,0147,202,5,1,0,4,5,8,3,1,5,3,19,56
22,Capital,001,0007A,0154,390,1,3,1,6,10,12,3,2,12,15,39,146
22,Capital,001,0007A,0155,390,5,1,3,5,9,19,6,0,15,24,39,113
22,Capital,001,0007A,0156,390,3,6,6,1,4,16,1,4,11,16,50,110
22,Capital,001,0007A,0157,390,3,2,2,6,3,13,1,2,10,12,54,139
22,Capital,001,0007A,0158,390,2,4,2,4,4,5,2,0,10,22,35,136
22,Capital,001,0007A,0159,390,10,0,0,8,5,10,3,2,11,14,38,118
22,Capital,001,0007A,0160,390,6,3,2,8,5,7,2,6,16,15,36,124
22,Capital,001,0007A,0161,390,5,8,2,2,8,10,3,2,9,14,38,129
22,Capital,001,0007A,0162,390,3,10,0,3,13,21,1,2,13,17,46,117
22,Capital,001,0007A,0163,390,8,5,1,3,2,8,1,3,14,9,42,128
22,Capital,001,0007A,0164,390,4,3,0,6,5,14,2,2,10,14,45,132
22,Capital,001,0007A,0165,390,2,7,0,4,10,10,1,2,7,18,35,123
22,Capital,001,0007A,0166,390,4,7,1,1,5,16,0,0,8,14,42,118
22,Capital,001,0007A,0167,390,2,7,3,5,5,23,0,0,11,15,32,115
22,Capital,001,0007A,0168,280,5,5,3,5,2,13,1,0,6,11,19,89
22,Capital,001,0007B,0148,390,3,3,3,4,5,13,0,0,10,14,39,111
22,Capital,001,0007B,0149,390,5,6,2,7,6,17,7,0,8,18,26,113
22,Capital,001,0007B,0150,390,7,5,1,1,7,10,3,5,9,19,31,130
22,Capital,001,0007B,0151,390,4,2,3,7,4,12,3,1,8,15,57,105
22,Capital,001,0007B,0152,390,4,2,0,3,4,11,1,2,4,16,30,136
22,Capital,001,0007B,0153,390,2,6,1,9,2,11,0,3,3,23,32,141
22,Capital,001,0007B,0154,390,5,5,2,6,3,8,1,3,10,22,33,119
22,Capital,001,0007B,0155,390,6,2,2,3,2,11,4,2,15,15,32,119
22,Capital,001,0007B,0156,390,2,2,2,3,5,7,6,2,2,15,30,137
22,Capital,001,0007B,0157,390,2,6,4,7,3,4,2,4,4,26,32,128
22,Capital,001,0007B,0158,390,4,3,1,8,4,3,3,3,10,21,33,131
22,Capital,001,0007B,0159,390,6,3,1,6,9,5,1,3,14,22,37,125
22,Capital,001,0007B,0160,390,7,0,1,7,7,10,1,1,8,20,39,113
22,Capital,001,0007B,0161,390,4,6,1,3,9,13,2,2,16,27,27,107
22,Capital,001,0007B,0162,390,3,3,2,4,5,12,1,3,11,21,33,117
22,Capital,001,0007B,0163,390,4,3,0,3,3,14,1,1,10,20,30,117
22,Capital,001,0007B,0164,390,2,1,5,8,11,5,4,1,6,18,49,111
22,Capital,001,0007B,0165,390,5,3,3,3,1,11,2,0,9,23,29,133
22,Capital,001,0007B,0166,390,3,5,0,2,6,8,0,1,7,21,35,129
22,Capital,001,0007B,0167,390,7,5,3,4,6,8,4,2,5,21,27,129
22,Capital,001,0007B,0168,390,7,1,3,7,5,10,2,2,1,18,36,133
22,Capital,001,0007B,0169,780,3,4,2,10,10,18,4,6,20,44,70,274
22,Capital,001,0007B,0170,780,10,13,6,12,14,30,8,4,22,54,68,232
22,Capital,001,0007B,0171,780,5,9,8,24,8,28,6,8,20,32,72,320
22,Capital,001,0007B,0172,780,10,8,6,16,10,18,10,12,22,42,96,248
22,Capital,001,0007B,0173,780,5,12,2,8,16,30,2,6,20,66,76,292
22,Capital,001,0007B,0174,780,19,10,8,16,16,22,6,8,20,48,60,336
22,Capital,001,0007B,0175,780,11,8,2,10,14,20,12,6,18,42,66,264
22,Capital,001,0007B,0176,780,14,5,10,10,10,18,8,4,24,44,78,298
22,Capital,001,0007B,0177,780,15,5,6,12,8,22,4,2,18,52,88,232
22,Capital,001,0007B,0178,780,16,7,2,12,8,14,6,4,12,46,56,284
22,Capital,001,0007B,0179,780,4,8,2,8,8,18,6,2,22,36,74,300
22,Capital,001,0007B,0180,780,10,11,4,14,14,22,2,6,18,44,74,300
22,Capital,001,0007B,0181,780,10,11,8,12,12,22,8,8,14,38,76,294
22,Capital,001,0007B,0182,780,13,4,4,14,10,30,8,2,24,48,86,266
22,Capital,001,0007B,0183,780,11,8,2,8,8,18,6,6,20,38,90,288
22,Capital,001,0007B,0184,568,4,5,4,10,16,20,4,4,16,46,78,238
22,Capital,001,0007B,0185,390,4,2,0,5,4,5,4,1,7,23,31,140
22,Capital,001,0007B,0186,390,5,2,1,3,3,9,3,0,4,26,36,141
22,Capital,001,0007B,0187,390,3,2,2,7,11,9,0,3,6,19,36,117
22,Capital,001,0007B,0188,390,4,1,4,9,1,13,1,1,7,18,28,156
22,Capital,001,0007B,0189,390,5,5,1,2,6,9,1,0,10,26,31,142
22,Capital,001,0007B,0190,390,3,5,1,3,9,7,5,0,8,32,35,128
22,Capital,001,0007B,0191,390,4,0,1,4,5,7,4,3,7,24,34,132
22,Capital,001,0007B,0192,390,6,3,1,7,4,14,3,1,7,20,35,150
22,Capital,001,0007B,0193,390,17,1,1,4,8,10,1,1,4,26,37,145
22,Capital,001,0007B,0194,390,4,4,1,7,6,11,2,4,16,14,35,117
22,Capital,001,0007B,0195,390,6,9,2,6,10,15,3,1,6,11,38,115
22,Capital,001,0007B,0196,390,4,4,1,1,5,15,5,3,4,29,42,138
22,Capital,001,0007B,0197,390,6,2,2,3,5,10,1,2,6,22,43,148
22,Capital,001,0007B,0198,390,3,3,1,3,5,12,0,0,6,31,33,137
22,Capital,001,0007B,0199,390,7,3,3,0,7,12,2,3,3,19,37,146
22,Capital,001,0007B,0200,390,7,6,2,5,10,16,3,2,13,17,48,96
22,Capital,001,0007B,0201,390,6,4,1,1,6,16,1,2,8,20,47,129
22,Capital,001,0007B,0202,390,2,1,4,6,5,8,2,1,7,27,48,117
22,Capital,001,0007B,0203,390,2,4,0,3,3,9,1,0,7,19,45,142
22,Capital,001,0007B,0204,390,4,6,2,2,5,8,2,1,10,27,45,119
22,Capital,001,0007B,0205,390,4,4,1,5,3,10,0,4,4,19,36,142
22,Capital,001,0007B,0206,390,7,1,1,3,1,11,1,1,6,16,39,149
22,Capital,001,0007B,0207,390,2,2,0,6,8,11,2,2,8,20,32,134
22,Capital,001,0007B,0208,390,4,2,0,5,4,6,2,3,11,27,34,152
22,Capital,001,0007B,0209,371,4,5,2,4,5,8,4,4,11,27,37,115
22,Capital,001,0008 ,0185,390,2,3,1,4,3,5,3,0,6,28,36,115
22,Capital,001,0008 ,0186,390,8,4,2,6,7,4,2,1,3,10,25,127
22,Capital,001,0008 ,0187,390,3,5,2,9,4,6,1,1,9,16,33,137
22,Capital,001,0008 ,0188,390,3,1,2,6,6,2,2,1,10,24,26,112
22,Capital,001,0008 ,0189,390,0,7,0,6,3,4,5,0,3,19,25,137
22,Capital,001,0008 ,0190,390,4,9,0,6,5,9,4,2,3,17,36,115
22,Capital,001,0008 ,0191,390,0,0,0,1,6,6,2,4,5,20,28,134
22,Capital,001,0008 ,0192,390,6,5,1,8,4,8,2,2,9,21,24,117
22,Capital,001,0008 ,0193,390,7,2,2,1,6,5,2,0,4,16,31,138
22,Capital,001,0008 ,0194,390,0,9,1,8,4,3,1,3,4,17,37,130
22,Capital,001,0008 ,0195,390,2,4,1,1,3,3,3,0,7,24,44,121
22,Capital,001,0008 ,0196,390,5,3,1,2,2,9,3,1,2,19,38,130
22,Capital,001,0008 ,0197,390,2,1,2,8,3,7,4,0,7,14,28,117
22,Capital,001,0008 ,0198,390,10,3,3,3,7,2,4,0,5,16,38,124
22,Capital,001,0008 ,0199,390,6,1,2,5,9,3,1,0,6,19,43,125
22,Capital,001,0008 ,0200,390,2,3,1,4,3,3,3,4,2,20,25,132
22,Capital,001,0008 ,0201,390,5,7,1,4,6,5,3,1,4,25,26,117
22,Capital,001,0008 ,0202,390,4,3,2,5,2,9,3,0,9,21,32,121
22,Capital,001,0008 ,0203,390,6,4,0,3,8,3,2,0,10,26,32,126
22,Capital,001,0008 ,0204,390,7,3,2,2,5,5,2,0,9,25,41,110
22,Capital,001,0008 ,0205,390,1,4,1,4,6,9,3,6,5,23,33,117
22,Capital,001,0008 ,0206,151,3,1,0,2,2,2,1,0,7,8,11,42
22,Capital,001,0008 ,0210,390,8,3,0,8,5,1,1,0,8,36,38,139
22,Capital,001,0008 ,0211,390,8,3,1,5,9,5,4,2,10,28,28,133
22,Capital,001,0008 ,0212,390,9,7,1,7,3,9,5,0,4,17,35,140
22,Capital,001,0008 ,0213,390,4,2,1,3,5,4,1,0,7,22,32,140
22,Capital,001,0008 ,0214,390,3,1,1,5,7,3,2,2,7,24,34,120
22,Capital,001,0008 ,0215,390,6,5,1,4,10,4,2,0,7,15,20,161
22,Capital,001,0008 ,0216,390,4,5,1,6,4,4,0,0,10,15,28,144
22,Capital,001,0008 ,0217,390,5,4,1,11,5,3,2,2,4,22,42,139
22,Capital,001,0008 ,0218,390,0,0,5,6,6,4,3,2,5,22,25,145
22,Capital,001,0008 ,0219,390,3,2,4,5,6,3,1,0,6,26,43,132
22,Capital,001,0008 ,0220,390,3,3,0,6,5,3,2,1,9,11,33,168
22,Capital,001,0008 ,0221,390,2,8,1,3,4,7,1,1,2,25,39,128
22,Capital,001,0008 ,0222,390,10,6,1,6,11,1,5,0,8,17,35,145
22,Capital,001,0008 ,0223,390,4,5,0,5,8,8,5,4,3,24,42,140
22,Capital,001,0008 ,0224,390,4,2,6,2,2,6,5,5,7,22,34,155
22,Capital,001,0008 ,0225,390,10,3,2,6,15,3,1,1,4,22,41,128
