codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00079,00066,00037,00051,00036
07,001,Rawson,00001,000001,308,60,2,8,20,80,54,8
07,001,Rawson,00001,000002,307,69,4,3,13,84,43,12
07,001,Rawson,00001,000003,308,51,4,3,9,100,48,9
07,001,Rawson,00001,000004,316,46,2,1,21,99,55,10
07,001,Rawson,00001,000005,306,56,0,1,16,85,59,9
07,001,Rawson,00001,000006,308,65,4,4,8,101,60,8
07,001,Rawson,00001,000007,306,64,5,5,15,83,41,10
07,001,Rawson,00001,000008,313,56,1,5,8,86,63,10
07,001,Rawson,00002,000010,348,64,3,1,11,99,68,13
07,001,Rawson,00002,000011,348,54,3,3,17,83,85,8
07,001,Rawson,00002,000012,347,56,9,2,14,73,82,18
07,001,Rawson,00002,000013,347,32,2,4,28,81,93,7
07,001,Rawson,00002,000014,380,62,3,2,26,96,89,6
07,001,Rawson,00002,000015,342,52,3,3,12,70,85,16
07,001,Rawson,00002,000016,348,54,1,2,16,97,78,7
07,001,Rawson,00002,000017,349,53,13,2,19,109,60,9
07,001,Rawson,00002,000018,345,41,4,6,9,99,81,10
07,001,Rawson,00002,000019,344,51,6,2,20,88,68,12
07,001,Rawson,00002,000020,348,58,3,2,21,77,82,4
07,001,Rawson,00002,000021,354,54,1,4,12,88,72,20
07,001,Rawson,00002,000009,344,60,6,2,13,85,79,10
07,001,Rawson,00003,000022,337,75,4,9,15,86,61,12
07,001,Rawson,00003,000023,343,61,2,5,10,116,72,4
07,001,Rawson,00003,000024,341,51,8,3,16,107,70,13
07,001,Rawson,00003,000025,345,61,5,3,20,104,71,13
07,001,Rawson,00003,000026,339,62,4,2,24,92,65,12
07,001,Rawson,00003,000027,341,46,5,2,21,100,69,18
07,001,Rawson,00003,000028,339,67,2,1,13,108,69,5
07,001,Rawson,00003,000029,347,59,1,4,8,92,76,13
07,001,Rawson,00003,000030,340,60,1,4,19,102,58,11
07,001,Rawson,00003,000031,342,50,3,3,17,114,80,6
07,001,Rawson,00003,000032,341,48,7,5,11,93,82,9
07,001,Rawson,00003,000033,343,60,5,3,12,89,79,11
07,001,Rawson,00003,000034,343,42,2,3,21,91,85,14
07,001,Rawson,00003,000035,340,56,4,3,16,91,78,17
07,001,Rawson,00003,000036,339,50,9,1,24,100,77,14
07,001,Rawson,00003,000037,341,65,2,3,21,89,66,10
07,001,Rawson,00003,000038,348,58,0,8,23,86,80,11
07,001,Rawson,00003,000039,342,59,2,3,19,78,82,14
07,001,Rawson,00003,000040,338,70,1,5,7,94,70,12
07,001,Rawson,00003,000041,339,72,1,0,15,92,70,9
07,001,Rawson,00003,000042,342,61,1,6,18,98,64,7
07,001,Rawson,00003,000043,340,66,0,8,22,84,79,10
07,001,Rawson,00003,000044,342,61,2,5,16,113,65,18
07,001,Rawson,00003,000045,344,84,1,7,20,94,48,7
07,001,Rawson,00003,000046,346,63,4,6,23,85,74,11
07,001,Rawson,00003,000047,342,63,3,5,14,107,75,9
07,001,Rawson,00003,000048,341,46,3,3,19,114,73,13
07,001,Rawson,00003,000049,344,59,5,8,19,100,66,12
07,001,Rawson,00003,000050,340,49,3,6,10,90,82,12
07,001,Rawson,00003,000051,339,78,4,4,18,88,60,12
07,001,Rawson,00003,000052,341,74,1,5,16,80,73,11
07,001,Rawson,00003,000053,342,74,2,5,21,77,70,10
07,001,Rawson,00003,000054,341,75,1,6,14,118,48,11
07,001,Rawson,00003,000055,341,59,0,4,24,100,71,13
07,001,Rawson,00003,000056,342,68,0,3,23,101,58,10
07,001,Rawson,00003,000057,338,53,1,5,15,94,84,16
07,001,Rawson,00003,000058,341,80,0,2,16,94,61,14
07,001,Rawson,00003,000059,342,71,8,4,15,96,74,9
07,001,Rawson,00003,000060,340,63,4,2,20,114,70,10
07,001,Rawson,00003,000061,341,70,6,1,9,96,82,12
07,001,Rawson,00004,000062,320,69,5,4,11,83,60,11
07,001,Rawson,00004,000063,318,63,5,8,6,94,69,7
07,001,Rawson,00004,000064,320,78,3,3,18,95,42,6
07,001,Rawson,00004,000065,320,70,11,4,14,93,40,9
07,001,Rawson,00004,000066,320,80,2,3,11,94,55,5
07,001,Rawson,00004,000067,322,54,11,1,15,98,68,12
07,001,Rawson,00004,000068,321,54,2,6,15,105,49,9
07,001,Rawson,00005,000069,348,52,2,4,18,78,97,20
07,001,Rawson,00005,000070,346,32,1,3,15,95,114,15
07,001,Rawson,00005,000071,344,44,3,1,21,81,119,18
07,001,Rawson,00005,000072,349,38,16,2,23,84,95,12
07,001,Rawson,00005,000073,347,36,0,0,14,97,98,21
07,001,Rawson,00005,000074,346,34,7,5,22,79,117,12
07,001,Rawson,00005,000075,344,47,1,1,11,76,105,9
07,001,Rawson,00005,000076,348,31,5,2,24,79,109,13
07,001,Rawson,00005,000077,348,41,3,4,19,71,96,17
07,001,Rawson,00005,000078,343,48,0,0,20,79,97,13
07,001,Rawson,00005,000079,354,49,0,5,17,101,102,16
07,001,Rawson,00005,000080,346,39,1,2,18,78,116,7
07,001,Rawson,00005,000081,348,46,3,6,15,75,105,13
07,001,Rawson,00005,000082,345,52,4,1,15,92,92,7
07,001,Rawson,00005,000083,350,36,3,6,16,76,113,21
07,001,Rawson,00005,000084,345,54,2,2,21,86,102,12
07,001,Rawson,00005,000085,344,39,1,2,15,98,93,14
07,001,Rawson,00005,000086,346,26,6,7,12,84,119,10
07,001,Rawson,00005,000087,344,45,1,2,30,81,100,12
07,001,Rawson,00005,000088,346,32,3,6,15,82,117,13
07,001,Rawson,00005,000089,349,49,5,5,16,84,96,14
07,001,Rawson,00006,000100,331,44,0,15,16,146,45,9
07,001,Rawson,00006,000101,337,37,8,14,20,113,56,18
07,001,Rawson,00006,000090,335,25,8,10,33,137,47,11
07,001,Rawson,00006,000091,332,31,5,6,24,170,36,10
07,001,Rawson,00006,000092,334,27,7,13,21,149,46,14
07,001,Rawson,00006,000093,330,31,10,6,21,138,55,7
07,001,Rawson,00006,000094,333,61,0,6,18,137,47,0
07,001,Rawson,00006,000095,339,39,6,0,24,149,39,19
07,001,Rawson,00006,000096,330,28,7,4,19,159,35,15
07,001,Rawson,00006,000097,336,28,9,7,19,164,38,7
07,001,Rawson,00006,000098,330,26,6,9,12,170,40,10
07,001,Rawson,00006,000099,334,36,3,11,15,158,33,12
07,001,Rawson,00007,000102,328,28,10,2,15,135,59,12
07,001,Rawson,00007,000103,334,35,12,8,28,124,45,12
07,001,Rawson,00007,000104,331,27,4,4,26,136,50,13
07,001,Rawson,00007,000105,332,38,6,4,28,117,49,7
07,001,Rawson,00007,000106,339,29,9,7,25,144,53,11
07,001,Rawson,00007,000107,330,22,3,5,20,134,56,13
07,001,Rawson,00007,000108,333,23,8,6,23,140,58,9
07,001,Rawson,00007,000109,326,39,5,5,22,146,42,7
07,001,Rawson,00007,000110,333,29,5,9,21,135,46,12
07,001,Rawson,00007,000111,332,38,0,4,16,127,65,19
07,001,Rawson,00007,000112,339,29,4,9,24,135,52,12
07,001,Rawson,00008,000113,341,38,6,5,18,151,47,15
07,001,Rawson,00008,000114,335,46,6,8,24,124,45,11
07,001,Rawson,00008,000115,341,51,4,8,23,137,46,17
07,001,Rawson,00008,000116,337,42,2,9,27,131,52,8
07,001,Rawson,00008,000117,338,27,3,9,18,154,64,10
07,001,Rawson,00008,000118,338,34,3,4,11,150,38,16
07,001,Rawson,00008,000119,336,52,1,7,23,123,49,13
07,001,Rawson,00008,000120,337,46,9,8,24,137,42,16
07,001,Rawson,00008,000121,337,28,7,8,27,152,43,14
07,001,Rawson,00008,000122,339,36,6,6,17,150,67,10
07,001,Rawson,00009,000123,344,44,5,5,27,143,48,15
07,001,Rawson,00009,000124,341,28,9,7,29,151,41,15
07,001,Rawson,00009,000125,341,33,1,10,23,132,59,20
07,001,Rawson,00009,000126,343,7,14,7,30,156,54,13
07,001,Rawson,00009,000127,342,39,6,9,27,152,35,18
07,001,Rawson,00009,000128,344,48,0,8,17,157,43,12
07,001,Rawson,00009,000129,346,37,8,11,34,138,51,16
07,001,Rawson,00009,000130,341,30,6,7,17,161,44,21
07,001,Rawson,00009,000131,342,35,10,6,17,141,50,12
07,001,Rawson,00009,000132,341,25,10,6,29,152,51,8
07,001,Rawson,00009,000133,339,36,7,9,29,149,43,20
07,001,Rawson,00009,000134,342,29,2,6,25,167,44,21
07,001,Rawson,00009,000135,343,33,7,6,21,166,42,15
07,001,Rawson,00009,000136,342,35,2,1,24,148,50,13
07,001,Rawson,00009,000137,340,42,10,10,26,138,41,15
07,001,Rawson,00009,000138,342,37,0,8,25,146,46,11
07,001,Rawson,00009,000139,343,43,5,7,26,150,37,10
07,001,Rawson,00009,000140,341,33,3,11,22,152,39,22
07,001,Rawson,00009,000141,343,19,10,10,28,170,32,18
07,001,Rawson,00009,000142,340,48,6,0,17,154,53,13
07,001,Rawson,00009,000143,346,31,8,3,17,168,43,11
07,001,Rawson,00009,000144,343,27,19,4,15,167,35,19
07,001,Rawson,00009,000145,341,34,5,8,19,160,43,20
07,001,Rawson,00009,000146,342,37,1,1,28,144,55,11
07,001,Rawson,00009,000147,339,34,4,6,31,141,45,12
07,001,Rawson,00009,000148,342,20,5,6,25,170,50,19
07,001,Rawson,00009,000149,339,34,1,10,30,139,37,20
07,001,Rawson,00009,000150,343,24,12,6,19,142,45,20
07,001,Rawson,00009,000151,343,37,11,5,20,148,48,15
07,001,Rawson,0009A,000152,327,33,7,6,22,125,50,16
07,001,Rawson,0009A,000153,331,34,3,6,28,123,66,16
07,001,Rawson,0009A,000154,331,34,6,4,25,146,54,20
07,001,Rawson,0009A,000155,328,26,8,8,25,131,58,15
07,001,Rawson,0009A,000156,328,37,3,6,21,137,47,11
07,001,Rawson,0009A,000157,327,37,5,5,27,140,46,13
07,001,Rawson,0009A,000158,330,30,5,12,19,129,64,13
07,001,Rawson,0009A,000159,328,22,4,6,24,153,50,18
07,001,Rawson,0009A,000160,326,30,1,3,22,142,52,15
07,001,Rawson,0009A,000161,333,32,10,5,11,165,45,8
07,001,Rawson,0009A,000162,329,25,6,5,15,154,49,19
07,001,Rawson,0009A,000163,325,25,12,9,17,125,61,19
07,001,Rawson,0009A,000164,329,24,5,4,20,151,69,16
07,001,Rawson,0009A,000165,329,19,3,7,26,140,59,25
07,001,Rawson,00010,000166,347,32,13,4,25,149,45,19
07,001,Rawson,00010,000167,349,22,4,5,31,121,63,18
07,001,Rawson,00010,000168,348,35,12,6,20,131,53,24
07,001,Rawson,00010,000169,348,33,6,5,40,148,39,12
07,001,Rawson,00010,000170,348,41,0,6,27,136,51,19
07,001,Rawson,00010,000171,350,38,5,7,27,133,37,21
07,001,Rawson,00010,000172,353,31,6,4,31,135,50,16
07,001,Rawson,00010,000173,347,24,6,12,24,142,72,10
07,001,Rawson,00010,000174,349,32,9,2,34,169,34,14
07,001,Rawson,00010,000175,349,30,10,12,29,130,63,16
07,001,Rawson,00010,000176,349,28,2,5,23,146,59,19
07,001,Rawson,00010,000177,345,26,5,7,23,157,54,10
07,001,Rawson,00010,000178,348,37,0,4,28,150,43,20
07,001,Rawson,00010,000179,350,34,6,5,30,142,55,12
07,001,Rawson,00011,000180,334,21,7,6,23,144,59,12
07,001,Rawson,00011,000181,334,22,6,8,26,107,86,12
